"Table 9.7a   Annual pay - Gross (£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
"Ealing, Southall",E14000676,19,"25,002",10.6,"27,410",5.5,x,x,"16,647","18,250","21,748","28,402","32,671","35,497",x,x,,,,,,,,
East Ham,E14000679,21,"25,395",,"29,359",7.2,"8,268",x,"15,949","18,299","22,404","28,851","35,041",x,x,x,,,,,,,,
Edmonton,E14000687,19,"18,285",-2.6,"21,342",-11.7,"6,013","7,533","9,728","11,011","14,396","22,681","27,561",x,x,x,,,,,,,,
Eltham,E14000690,10,x,,"24,257",1.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Enfield North,E14000691,26,x,,"31,036",2.7,"7,284",x,x,x,x,x,x,x,x,x,,,,,,,,
"Enfield, Southgate",E14000692,18,"21,157",-7.1,"26,878",-5.2,"6,910","8,790","10,459","11,502","14,726","24,708",x,x,x,x,,,,,,,,
Erith and Thamesmead,E14000696,20,"24,411",9.8,"28,598",10.1,"9,260","14,072","15,029","16,068","20,144","28,186","33,898","36,633",x,x,,,,,,,,
Feltham and Heston,E14000701,30,"29,978",14.7,"43,884",15.7,x,"17,225","19,723","22,095","27,529","34,649",x,x,x,x,,,,,,,,
Finchley and Golders Green,E14000703,22,"20,004",,"30,256",,x,"9,077","10,529","12,204","17,069","24,415",x,x,x,x,,,,,,,,
Greenwich and Woolwich,E14000718,37,"29,243",0.2,"30,073",-3.4,"7,076","13,478","17,168","19,628","24,567","33,088","36,409","38,279","42,401",x,,,,,,,,
Hackney North and Stoke Newington,E14000720,16,x,,"19,318",7.2,x,"6,515","6,671","7,916",x,x,"23,997",x,x,x,,,,,,,,
Hackney South and Shoreditch,E14000721,46,"34,169",8.5,"40,157",9.8,"14,056","19,039","21,402","24,720","28,561","39,021","44,000","49,998","54,648",x,,,,,,,,
Hammersmith,E14000726,62,"34,921",-8.8,"44,588",6.7,"13,097","20,217","23,217","25,427","30,453","40,391","45,809","51,193",x,x,,,,,,,,
Hampstead and Kilburn,E14000727,45,"31,699",4.0,"36,271",8.5,"10,234","16,544","20,053","23,295","26,669","36,829","41,146","45,207","50,960",x,,,,,,,,
Harrow East,E14000731,16,"24,593",5.8,"28,341",5.0,x,x,"14,814","18,149","20,690","29,944","36,399","37,106",x,x,,,,,,,,
Harrow West,E14000732,19,"22,008",,"30,020",,x,"11,985","14,011","15,209","18,903","25,759","34,692",x,x,x,,,,,,,,
Hayes and Harlington,E14000737,57,"29,587",14.2,"37,366",11.3,"13,117","18,116","19,980","21,709","25,584","35,019","40,749","45,128","49,254",x,,,,,,,,
Hendon,E14000741,29,"25,234",8.7,"28,231",2.9,"7,621","11,796","14,982","16,947","20,235","30,208","36,915","39,593","42,689",x,,,,,,,,
Holborn and St Pancras,E14000750,200,"37,072",2.0,"44,856",4.1,"13,592","22,793","25,491","27,966","32,369","42,271","49,575","53,720","59,501",x,,,,,,,,
Hornchurch and Upminster,E14000751,17,"23,205",,"26,412",16.0,x,"10,267","11,274","13,054",x,"29,312","33,305",x,x,x,,,,,,,,
Hornsey and Wood Green,E14000752,20,"25,340",6.5,"27,709",0.1,"7,168","10,776","13,420","15,758","21,723","30,735","34,063","35,177",x,x,,,,,,,,
Ilford North,E14000759,14,"20,778",-13.7,"24,319",-6.1,"5,725",x,x,x,"16,996","24,464",x,x,x,x,,,,,,,,
Ilford South,E14000760,18,"20,983",,"25,704",,x,"8,986","11,664",x,"16,419","25,060","30,179",x,x,x,,,,,,,,
Islington North,E14000763,22,x,,"30,546",1.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Islington South and Finsbury,E14000764,131,"39,696",4.4,"51,384",3.6,"16,717","25,500","28,000","30,137","34,971","44,498","51,533","58,499","66,145",x,,,,,,,,
Kensington,E14000768,52,"29,161",-5.1,"35,349",-3.3,x,x,"19,704","21,605","25,227","33,553","39,456",x,x,x,,,,,,,,
Kingston and Surbiton,E14000770,49,x,,"31,466",5.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Lewisham East,E14000787,18,"25,092",10.2,"27,867",14.1,x,x,"15,747","18,349","22,748","30,503","32,493","35,814",x,x,,,,,,,,
Lewisham West and Penge,E14000788,12,"19,467",-3.6,"23,700",3.5,x,"11,048","12,746","14,027","17,381","24,528",x,x,x,x,,,,,,,,
"Lewisham, Deptford",E14000789,26,"31,020",27.1,"33,372",12.5,x,"16,553","18,791","20,999","24,978","36,079","41,436","43,796",x,x,,,,,,,,
Leyton and Wanstead,E14000790,17,"27,808",,"28,674",,x,x,"16,691","18,020","22,598","32,396","35,758","38,553",x,x,,,,,,,,
Mitcham and Morden,E14000823,14,"21,843",,x,,x,"12,279","13,929","16,305","19,339","25,937",x,x,x,x,,,,,,,,
Old Bexley and Sidcup,E14000869,18,"22,194",,"27,984",-6.7,"7,867","10,625","12,483","15,166","17,687",x,"36,618","39,646",x,x,,,,,,,,
Orpington,E14000872,22,"24,533",,"28,888",2.9,"7,389",x,"14,470","17,825","21,213","29,506","33,758","37,639",x,x,,,,,,,,
Poplar and Limehouse,E14000882,132,"50,166",-3.4,"74,536",3.9,"20,587","30,016","33,033","36,184","41,875","62,598","75,676","85,492","98,388",x,,,,,,,,
Putney,E14000887,17,"27,940",-7.5,"33,374",-11.8,"8,270",x,"15,823","20,053","23,747","32,786","42,035",x,x,x,,,,,,,,
Richmond Park,E14000896,32,"27,600",2.7,"33,747",6.0,"8,453",x,x,x,"24,512","32,914",x,x,x,x,,,,,,,,
Romford,E14000900,34,"27,618",9.7,"30,379",9.1,"8,026","11,294","13,284","16,052","22,552","31,851","38,435","40,673","42,994",x,,,,,,,,
"Ruislip, Northwood and Pinner",E14000906,17,"25,119",2.6,"31,991",1.0,x,x,x,x,x,"29,894","35,745",x,x,x,,,,,,,,
Streatham,E14000978,11,"23,735",-9.7,"27,141",-8.4,x,"14,676","15,697","18,011","20,765","27,206","35,264",x,x,x,,,,,,,,
Sutton and Cheam,E14000984,23,"25,820",,"31,024",22.8,x,"12,507","14,575","16,804","21,530","30,603","35,913","37,395",x,x,,,,,,,,
Tooting,E14000998,28,"27,123",1.6,"31,597",5.2,x,x,x,x,"23,305","32,360","37,392",x,x,x,,,,,,,,
Tottenham,E14001002,20,"25,054",-4.7,"29,249",-1.1,"8,400","12,851","14,539","18,141","21,355","28,643","32,941","35,279",x,x,,,,,,,,
Twickenham,E14001005,31,"28,317",-1.4,"33,719",2.0,"8,209","13,855","17,109","19,031","22,827","35,001","38,171","42,672",x,x,,,,,,,,
Uxbridge and South Ruislip,E14001007,53,"29,322",1.6,"35,192",1.4,x,x,x,"19,980","24,647","36,875","42,801",x,x,x,,,,,,,,
Vauxhall,E14001008,61,"34,815",2.2,"47,095",9.4,"13,163","19,276","22,151","25,191","29,564","41,038","50,982","54,723","61,283",x,,,,,,,,
Walthamstow,E14001013,20,"25,091",14.3,"27,629",7.2,"7,190",x,"17,459","19,144","23,144","29,140","33,540","37,607",x,x,,,,,,,,
West Ham,E14001032,44,"26,839",5.1,"35,385",10.4,"8,477","13,587","16,161","18,595","22,263","32,592","40,320","44,939","53,262",x,,,,,,,,
Westminster North,E14001036,27,"32,726",2.6,"38,598",5.8,"8,615",x,x,x,"27,297","37,316",x,x,x,x,,,,,,,,
Wimbledon,E14001040,36,"26,214",0.1,"30,078",0.3,x,"13,318","15,394","17,549","21,614","31,674","35,747","38,445","41,354",x,,,,,,,,
South East,E12000008,"3,052","26,215",4.9,"31,683",5.5,"8,143","12,903","15,700","17,988","22,031","30,852","36,380","39,915","43,909","57,909",,,,,,,,
Aldershot,E14000530,42,"30,693",2.5,"40,749",5.7,x,"15,378","17,853","21,304","26,080","36,380",x,x,x,x,,,,,,,,
Arundel and South Downs,E14000534,23,"20,530",-0.9,"23,302",0.1,x,"8,418","9,998","12,042","16,389","24,103","27,759",x,x,x,,,,,,,,
Ashford,E14000536,44,"25,367",12.3,"28,970",13.4,"8,731","14,232","16,979","18,933","21,993","29,758","34,198","36,071","39,212",x,,,,,,,,
Aylesbury,E14000538,42,"27,024",5.1,"32,416",4.5,"7,960","13,190","15,938","18,286","21,669","31,282","35,010",x,x,x,,,,,,,,
Banbury,E14000539,45,"26,440",0.4,"33,036",4.3,"9,418","14,856","16,955","18,698","21,732","29,615","35,423","38,562",x,x,,,,,,,,
Basingstoke,E14000545,48,"33,039",18.9,"38,545",16.9,"10,404","16,314","18,961","20,812","26,017","36,775","41,904","46,638","49,881",x,,,,,,,,
Beaconsfield,E14000550,35,"31,707",13.1,"37,621",16.9,"8,561","13,707","17,368","18,765","24,758","35,721","42,511","45,266",x,x,,,,,,,,
Bexhill and Battle,E14000557,22,"18,009",0.7,"21,002",-1.6,x,"10,600","12,050","13,111","16,004","21,007","24,785","26,976",x,x,,,,,,,,
Bognor Regis and Littlehampton,E14000576,x,"19,292",9.6,x,,"7,165","11,291","12,544","15,194","17,479","21,279","24,687",x,x,x,,,,,,,,
Bracknell,E14000586,47,"32,142",1.6,"38,678",3.1,"9,925","15,707","18,347","21,210","27,161","39,635","46,706","50,082","55,558",x,,,,,,,,
"Brighton, Kemptown",E14000597,28,"26,448",7.0,"31,340",4.8,x,"11,929","15,122","18,336","21,842","30,844","36,825","39,749",x,x,,,,,,,,
"Brighton, Pavilion",E14000598,47,"23,132",1.4,"26,863",9.2,"7,800","10,984","13,359","15,720","20,067","27,474","33,343","36,546","38,777",x,,,,,,,,
Buckingham,E14000608,23,"23,083",11.5,"28,768",15.7,"8,231","12,513","14,198","15,614","18,723","26,459","31,534",x,x,x,,,,,,,,
Canterbury,E14000619,40,"22,487",5.9,"26,037",5.7,x,x,x,"15,711","19,126","25,833","30,921",x,x,x,,,,,,,,
Chatham and Aylesford,E14000626,22,x,,"27,399",5.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Chesham and Amersham,E14000631,24,"25,715",8.3,"28,577",0.4,"8,630","11,845","14,153","18,048","22,285","29,554","33,266",x,x,x,,,,,,,,
Chichester,E14000633,43,"20,785",1.9,"26,664",3.1,"5,728","9,571","12,436","14,219","18,404","24,332","31,805","34,507","37,471",x,,,,,,,,
Crawley,E14000652,73,"26,541",-5.9,"32,747",-3.3,"7,883","12,488","15,377","17,596","21,136","31,199","35,940","41,061","44,650",x,,,,,,,,
Dartford,E14000659,55,"27,411",7.7,"30,707",3.3,x,x,x,x,"22,868","32,540","37,701",x,x,x,,,,,,,,
Dover,E14000670,17,"25,516",22.2,"29,235",17.4,x,"14,640","15,899","17,761","20,278","28,608","33,691","36,160",x,x,,,,,,,,
East Hampshire,E14000680,25,"22,522",-6.2,"26,189",-2.1,"9,571","13,322","16,176","17,162","20,083","26,365","31,810","34,545","37,807",x,,,,,,,,
East Surrey,E14000681,24,"22,793",,"24,655",-1.0,x,"8,716","11,238","12,006","17,912","27,183","30,121","32,621",x,x,,,,,,,,
East Worthing and Shoreham,E14000682,23,"20,828",-10.1,"25,660",-6.2,x,x,"11,411","13,185","16,745","24,433","28,504","30,727",x,x,,,,,,,,
Eastbourne,E14000684,30,"22,069",,"26,648",,"7,675","11,119","13,019","15,467","18,791","27,491","33,074","36,638","39,675",x,,,,,,,,
Eastleigh,E14000685,39,"25,343",8.2,"27,477",6.6,x,"12,227","14,796","17,528","21,458","29,051","32,401","34,522","37,959",x,,,,,,,,
Epsom and Ewell,E14000694,27,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Esher and Walton,E14000697,27,"25,638",1.3,"30,955",0.4,x,"10,931","13,747","16,491","20,340","31,289","37,106","40,585","46,126",x,,,,,,,,
Fareham,E14000699,37,"26,806",-1.9,"35,634",6.6,"9,146","13,488","16,579","18,349","21,759","30,060","39,519","44,524",x,x,,,,,,,,
Faversham and Mid Kent,E14000700,28,x,,"26,549",8.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Folkestone and Hythe,E14000704,28,x,,"29,694",7.2,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Gillingham and Rainham,E14000711,19,"20,191",,"24,661",7.4,"7,469","11,342","12,442","13,783","17,100","23,381","27,818",x,x,x,,,,,,,,
Gosport,E14000713,x,x,,"24,691",7.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Gravesham,E14000715,24,"23,737",16.2,"28,197",12.6,"6,449","9,842","12,308","14,667","18,880","30,194","35,588","39,826",x,x,,,,,,,,
Guildford,E14000719,64,"30,091",-4.0,"37,009",2.0,"9,532","17,992","19,397","22,562","26,140","35,936","41,705","46,544","51,240",x,,,,,,,,
Hastings and Rye,E14000735,32,"19,732",3.3,"22,438",3.8,x,"9,462","10,620","12,889","16,549","22,169","25,127","27,633","32,641",x,,,,,,,,
Havant,E14000736,26,"21,958",5.9,"27,423",6.9,"8,339","12,326","14,232","15,634","18,950","26,466","31,647","35,469",x,x,,,,,,,,
Henley,E14000742,34,"28,877",9.1,"31,987",9.4,x,"13,911","16,386","19,024","23,279","33,304","40,478","42,781","45,927",x,,,,,,,,
Horsham,E14000753,31,"24,895",7.7,"29,899",8.8,x,"11,118","13,684","17,595","21,799","28,986","34,811","37,073",x,x,,,,,,,,
Hove,E14000755,33,"23,948",7.3,"26,346",-0.4,"7,919","11,395","14,115","15,434","20,646","26,429","29,819","33,152","35,715",x,,,,,,,,
Isle of Wight,E14000762,36,"19,708",-4.8,"22,075",-4.5,"7,218","10,620","12,430","14,201","16,513","22,626","26,387","28,388",x,x,,,,,,,,
Lewes,E14000786,23,"21,910",,"25,964",1.2,x,"9,447","11,682","14,024","18,326","25,500","30,740","33,664",x,x,,,,,,,,
Maidenhead,E14000803,38,x,,"42,347",-0.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Maidstone and The Weald,E14000804,x,"26,102",10.7,"28,588",12.0,"9,566","15,267","17,699","18,905",x,x,x,x,x,x,,,,,,,,
Meon Valley,E14000811,32,"24,233",-4.0,"32,933",6.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Mid Sussex,E14000817,33,"25,004",2.6,"30,288",11.6,"7,334",x,x,"18,472","21,466","29,460","35,721",x,x,x,,,,,,,,
Milton Keynes North,E14000821,71,"32,123",12.7,"36,149",12.2,"12,178",x,"21,214","23,831","27,480","37,997","43,176","45,831","50,399",x,,,,,,,,
Milton Keynes South,E14000822,68,"30,688",11.6,"34,416",7.9,"10,145","17,368","20,110","22,551","25,781","34,444","41,920","44,360","48,677",x,,,,,,,,
Mole Valley,E14000824,48,"28,843",7.8,"37,432",2.3,x,"17,447","19,703","21,804","25,011","34,775",x,x,x,x,,,,,,,,
New Forest East,E14000827,29,"22,546",-1.3,"27,492",,"7,775","11,600","13,818","16,500","19,828","28,272","32,955","36,399","41,307",x,,,,,,,,
New Forest West,E14000828,24,"20,894",-0.5,"26,308",3.9,"8,462","10,234","11,872","13,138","17,501","25,411","29,297","31,592",x,x,,,,,,,,
Newbury,E14000830,57,"34,881",6.1,"39,024",3.0,x,x,"20,707","22,753","28,376","40,300","46,378",x,x,x,,,,,,,,
North East Hampshire,E14000844,24,"27,136",-1.6,"30,956",-2.0,x,x,x,x,"21,701","35,200","38,724",x,x,x,,,,,,,,
North Thanet,E14000852,20,"21,581",23.2,"23,586",21.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
North West Hampshire,E14000857,28,x,,"28,880",0.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Oxford East,E14000873,73,"29,575",-9.8,"32,445",-4.0,x,x,"17,881","21,023","25,860","34,433","38,812","41,677","44,461",x,,,,,,,,
Oxford West and Abingdon,E14000874,47,x,,"31,615",-2.9,"8,780","14,004","16,018","18,552",x,x,x,x,x,x,,,,,,,,
Portsmouth North,E14000883,34,"26,579",-0.2,"31,389",7.3,"8,676",x,x,"18,177","23,379",x,x,x,x,x,,,,,,,,
Portsmouth South,E14000884,35,"24,459",20.8,"26,897",9.7,"8,142","12,124","14,026","16,166","20,466","29,363","33,300","35,493","40,941",x,,,,,,,,
Reading East,E14000889,72,"29,890",0.0,"38,255",1.3,"9,950","15,973","18,717","21,364","26,622","34,945","42,182","45,956","51,639",x,,,,,,,,
Reading West,E14000890,35,"26,267",0.4,"33,256",3.6,"9,076","15,860","17,301","18,945","22,071","30,890","36,843","39,444",x,x,,,,,,,,
Reigate,E14000893,42,"26,775",-4.3,"33,796",-2.5,"8,214","12,293","14,992","17,649","23,011","33,149","40,299","42,936",x,x,,,,,,,,
Rochester and Strood,E14000898,41,"25,993",7.9,"28,850",7.4,x,"13,006","15,279","17,657","21,679","28,529","34,124","37,628","39,914",x,,,,,,,,
Romsey and Southampton North,E14000901,30,x,,"28,518",7.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Runnymede and Weybridge,E14000907,49,"33,390",11.9,"38,669",0.9,"8,211","16,010","19,828","22,728","26,253","38,561","43,820","45,951","51,450",x,,,,,,,,
Sevenoaks,E14000918,27,"24,422",3.8,"27,579",-1.8,x,x,"13,992","17,199","20,599","27,955","34,164","36,052",x,x,,,,,,,,
Sittingbourne and Sheppey,E14000927,29,"24,372",3.5,"27,831",13.3,x,x,"16,956","18,412","20,955","27,663","31,621",x,x,x,,,,,,,,
Slough,E14000930,39,"32,836",15.9,"44,245",26.6,x,x,x,x,x,"37,893",x,x,x,x,,,,,,,,
South Thanet,E14000948,25,"20,762",,"28,518",24.1,"9,059","11,677","13,305","14,956","18,103","23,132","28,600",x,x,x,,,,,,,,
South West Surrey,E14000953,28,x,,"26,776",5.7,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"Southampton, Itchen",E14000955,39,"25,591",10.4,"33,354",21.9,"8,303","13,272","15,346","17,718","21,155","29,981","36,232","40,132",x,x,,,,,,,,
"Southampton, Test",E14000956,51,"27,107",12.2,"31,447",10.1,"8,480","14,265","17,264","19,323","23,029","30,117","33,584","37,225","39,967",x,,,,,,,,
Spelthorne,E14000959,29,"31,788",5.6,"36,356",11.5,x,x,x,"22,413","26,764","34,512","40,304",x,x,x,,,,,,,,
Surrey Heath,E14000983,37,x,,"36,275",17.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Tonbridge and Malling,E14000997,32,"26,031",19.3,"30,212",11.1,"8,288","11,798","14,446","16,853","22,481","28,836",x,x,x,x,,,,,,,,
Tunbridge Wells,E14001004,33,"25,517",7.4,"29,759",6.6,"9,263",x,x,"19,412","23,123","29,476","34,354",x,x,x,,,,,,,,
Wantage,E14001015,46,"32,551",6.8,"35,914",3.9,"10,866","17,251","19,729","22,590","27,206","36,396","40,486","43,870","46,869",x,,,,,,,,
Wealden,E14001023,25,x,,"24,977",5.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Winchester,E14001041,70,x,,"28,302",-1.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Windsor,E14001042,37,"31,684",-1.9,"35,677",-2.2,x,x,x,x,"27,108","35,205",x,x,x,x,,,,,,,,
Witney,E14001046,35,"24,806",11.1,x,,"6,923","11,473","15,282","17,475","20,497","30,923","35,351","36,927","39,326",x,,,,,,,,
Woking,E14001047,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Wokingham,E14001048,38,"26,764",4.0,"34,283",0.8,"8,794","12,875","15,106","18,216","22,047","32,759","40,882","45,410",x,x,,,,,,,,
Worthing West,E14001055,33,"22,133",5.5,"25,324",7.7,"8,634","12,342","14,048","16,135","18,714","25,326","30,189","31,860","34,118",x,,,,,,,,
Wycombe,E14001056,38,"26,783",4.7,"35,674",6.2,"8,774","14,479","17,544","19,788","23,269","32,339","37,442","42,506",x,x,,,,,,,,
South West,E12000009,"1,907","22,754",2.4,"26,704",2.2,"7,226","11,614","13,773","15,929","19,380","26,599","31,208","33,964","37,506","47,605",,,,,,,,
Bath,E14000547,52,"24,681",5.0,"30,307",4.4,"7,266","12,808","14,689","16,976","20,727","29,923","35,804","38,580","42,476",x,,,,,,,,
Bournemouth East,E14000584,26,"26,120",10.0,"34,722",6.3,x,"13,681","17,152","18,538","21,485","30,706","37,523",x,x,x,,,,,,,,
Bournemouth West,E14000585,41,"24,161",,"26,448",-3.6,"9,188",x,x,"17,469","21,008","26,744","30,489",x,x,x,,,,,,,,
Bridgwater and West Somerset,E14000595,32,"21,415",14.0,"25,992",5.3,"5,997","8,931","10,554","12,092","17,845","25,235","32,148","34,689",x,x,,,,,,,,
Bristol East,E14000599,22,"21,007",-1.2,"26,952",3.5,x,"11,615","13,369","15,417","19,152","25,608","32,649","35,339",x,x,,,,,,,,
Bristol North West,E14000600,x,x,,x,,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Bristol South,E14000601,24,"23,758",5.4,"27,972",3.5,x,"12,198","14,071","16,466","19,504","26,706","29,172","30,292",x,x,,,,,,,,
Bristol West,E14000602,136,"29,063",2.6,"33,443",-1.1,"11,063","17,779","19,580","21,236","25,617","32,572","37,757","41,212","44,942",x,,,,,,,,
Camborne and Redruth,E14000616,25,"21,420",3.7,"23,585",8.0,x,x,x,"15,130","17,812","24,703",x,x,x,x,,,,,,,,
Central Devon,E14000623,23,"19,826",-6.6,"23,423",-1.2,"6,533","8,844","10,469","13,006","16,692","22,508","26,835","30,823",x,x,,,,,,,,
Cheltenham,E14000630,44,"25,257",6.3,"28,602",7.3,x,x,x,x,"21,038",x,x,x,x,x,,,,,,,,
Chippenham,E14000635,31,"22,645",-1.0,"29,549",11.6,"6,999","10,794","12,823","14,549","20,001","27,004","32,269","37,983",x,x,,,,,,,,
Christchurch,E14000638,27,"22,819",2.7,"28,759",,"8,579","12,952","15,906","17,215","19,927","28,485","35,173","38,777","41,402",x,,,,,,,,
Devizes,E14000665,21,"23,463",3.7,"26,803",3.0,x,"13,105","15,275","18,065","21,784","26,637","32,281","35,125",x,x,,,,,,,,
East Devon,E14000678,45,"24,415",-6.7,"28,225",-2.0,"8,118","13,182","15,547","17,510","21,537","28,549","33,281","36,472","39,220",x,,,,,,,,
Exeter,E14000698,64,"23,358",6.5,"26,150",6.0,"7,736","11,926","14,733","17,063","20,338","26,478","31,193","33,414","36,544",x,,,,,,,,
Filton and Bradley Stoke,E14000702,52,"29,013",-6.2,"31,680",-4.2,x,x,x,x,"23,951","33,527","38,895",x,x,x,,,,,,,,
Forest of Dean,E14000705,18,"20,452",,"22,599",4.7,x,"9,457","11,280","12,678","15,937","22,179","25,297",x,x,x,,,,,,,,
Gloucester,E14000712,50,"22,971",-1.5,"28,533",3.2,"6,968","10,994","12,909","14,824","18,813","27,545","31,564","36,543","40,473",x,,,,,,,,
Kingswood,E14000774,34,"18,545",-17.1,"22,110",-10.2,"5,823","9,173","10,871","11,881","15,260","22,345","26,947","29,071","32,158",x,,,,,,,,
Mid Dorset and North Poole,E14000815,19,"22,463",6.1,"32,837",14.7,"8,163","12,303","14,861","16,387","19,440","27,636",x,x,x,x,,,,,,,,
Newton Abbot,E14000835,22,"19,223",0.3,"21,972",2.3,"8,503","11,722","13,317","16,010","17,452","21,855","25,960","28,577",x,x,,,,,,,,
North Cornwall,E14000837,26,"20,258",7.6,"22,820",4.5,"7,875","11,544","13,417","14,816","17,678","23,831","27,402","30,329","33,709",x,,,,,,,,
North Devon,E14000838,34,"20,267",1.2,"22,785",-1.7,x,x,"12,713","14,785","17,689","23,175","26,077","28,772",x,x,,,,,,,,
North Dorset,E14000839,26,x,,"25,279",-0.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
North East Somerset,E14000846,x,x,,"25,584",4.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
North Somerset,E14000850,29,"24,052",-1.0,"28,438",3.6,x,x,x,x,"20,523","28,202","33,252",x,x,x,,,,,,,,
North Swindon,E14000851,38,"26,908",2.7,"28,941",-6.4,x,x,"17,620","19,532","23,006","30,700","33,641","35,820","40,094",x,,,,,,,,
North Wiltshire,E14000860,27,"25,574",11.2,"29,613",3.5,x,"11,306","14,862","17,469","21,605","30,168","36,273","40,253",x,x,,,,,,,,
"Plymouth, Moor View",E14000879,37,"25,037",1.4,"28,869",8.7,x,"15,070","16,851","18,054","21,430","28,597","32,403","34,999","38,369",x,,,,,,,,
"Plymouth, Sutton and Devonport",E14000880,41,"20,570",-12.1,"24,218",-7.2,"7,686","10,909","12,704","14,577","17,812","23,489","27,834","29,449","32,205",x,,,,,,,,
Poole,E14000881,47,"25,246",8.0,"28,768",5.7,"8,506","13,635","15,779","17,419","21,746","28,460","33,369","36,198","39,741",x,,,,,,,,
Salisbury,E14000912,x,"21,662",0.2,"26,370",0.5,x,"10,024","12,120","15,842","19,044",x,x,x,x,x,,,,,,,,
Somerton and Frome,E14000932,21,"24,131",-3.8,"26,893",-2.9,"8,350","14,235","16,506","18,118","21,516","28,619","31,545","34,272","38,720",x,,,,,,,,
South Dorset,E14000936,35,"17,593",10.4,"20,963",15.6,"4,689","6,839","8,028","9,409","14,578","21,574","26,365","29,970","31,395",x,,,,,,,,
South East Cornwall,E14000938,20,"19,467",5.5,"20,667",6.3,x,"11,168","12,391","14,298","17,114","21,958","24,443","27,061",x,x,,,,,,,,
South Swindon,E14000947,52,"25,221",11.2,"30,262",8.8,"8,245","14,588","16,422","18,672","21,868","29,439","33,659","37,430","41,372",x,,,,,,,,
South West Devon,E14000950,x,"21,616",3.7,"23,737",0.8,x,"11,716","13,690","15,646","19,419",x,x,x,x,x,,,,,,,,
South West Wiltshire,E14000954,46,"18,816",-5.2,"21,420",-2.2,x,x,x,x,x,"22,417","26,721",x,x,x,,,,,,,,
St Austell and Newquay,E14000961,24,"17,846",-2.8,"20,900",-0.2,"6,799","9,370","11,776","13,372","16,124","20,882","25,584","27,515",x,x,,,,,,,,
St Ives,E14000964,x,x,,"17,094",-7.9,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Stroud,E14000980,38,"25,674",1.3,"26,954",3.7,"7,800","13,424","16,747","18,838","21,632","29,645","32,928","35,730","37,528",x,,,,,,,,
Taunton Deane,E14000988,50,"19,864",5.2,"22,016",3.2,x,"8,159","10,556","12,450","16,112","23,460","27,601","30,138","32,320",x,,,,,,,,
Tewkesbury,E14000990,42,"28,548",8.0,"31,156",2.1,x,x,x,x,"23,051","33,277","38,243",x,x,x,,,,,,,,
The Cotswolds,E14000991,34,"21,601",-1.9,x,,"7,689","11,779","12,864","15,260","18,381","25,757","30,722","33,939","39,631",x,,,,,,,,
Thornbury and Yate,E14000994,31,"24,247",5.8,"27,237",1.2,"9,428","13,323","14,427","16,260","20,793","28,160","33,124","34,887","38,596",x,,,,,,,,
Tiverton and Honiton,E14000996,25,"19,019",-1.5,"20,357",0.1,"6,392","9,081","10,746","12,524","15,978","22,697","25,433","28,327","31,200",x,,,,,,,,
Torbay,E14000999,28,"18,315",21.4,"22,281",25.1,"6,738","9,002","10,233","13,116","16,151","21,369","26,432","29,849","33,072",x,,,,,,,,
Torridge and West Devon,E14001000,21,"17,090",,x,,"5,110","8,539","9,918","11,229","14,523","20,174","23,470","24,496",x,x,,,,,,,,
Totnes,E14001001,20,x,,"19,669",-1.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Truro and Falmouth,E14001003,41,"22,017",7.5,"24,590",4.8,"7,373","10,954","13,327",x,"19,227","24,825","29,470",x,x,x,,,,,,,,
Wells,E14001026,28,"17,778",4.9,"20,225",2.9,x,"8,371",x,x,"15,000",x,x,x,x,x,,,,,,,,
West Dorset,E14001031,38,"21,414",3.9,"26,221",6.4,x,x,"14,103","16,378","18,908","26,323","31,348","34,096",x,x,,,,,,,,
