"Table 9.7a   Annual pay - Gross (£) - For all employee jobsa: United Kingdom, 2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
,,of jobsb,,percentage,,percentage,Percentiles,,,,,,,,,,,,,,,,,
Description,Code,(thousand),Median,change,Mean,change,10,20,25,30,40,60,70,75,80,90,,,,,,,,
Copeland,E14000647,33,"31,182",-16.6,"35,875",-3.9,"9,466","15,320","17,040","18,691","25,798","41,390","47,415","51,844","52,905",x,,,,,,,,
Crewe and Nantwich,E14000653,42,"25,133",3.7,"27,343",5.7,"7,632","12,489","15,510","17,488","21,713","29,478","34,852","36,979","40,328",x,,,,,,,,
Denton and Reddish,E14000661,x,x,,"26,432",1.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Eddisbury,E14000686,35,"22,084",6.5,"26,292",10.8,"9,508","13,287","16,169","18,037","19,840","25,482","30,426","33,322","36,645",x,,,,,,,,
Ellesmere Port and Neston,E14000688,27,"24,800",0.8,"28,793",1.5,"7,555","11,862","14,741","17,216","21,220","31,995","37,933","39,566","43,115",x,,,,,,,,
Fylde,E14000706,31,"29,463",7.7,"35,635",4.9,"9,401","15,317","17,180","19,017","22,553","35,974","42,961",x,x,x,,,,,,,,
Garston and Halewood,E14000708,33,"24,594",-3.3,"29,041",-3.2,"9,434","14,814","17,007","18,295","21,252","29,576","36,992","39,561","42,741",x,,,,,,,,
Halton,E14000725,28,"23,475",2.3,"24,958",5.8,"6,344","10,280","12,842",x,x,"27,267","31,124",x,x,x,,,,,,,,
Hazel Grove,E14000738,15,"17,984",,"23,028",2.7,x,"12,065","13,294","14,471","16,029",x,x,x,x,x,,,,,,,,
Heywood and Middleton,E14000747,24,"21,163",,"23,404",7.6,"6,781","12,081","13,390","15,223","17,971","24,109","28,683","30,889",x,x,,,,,,,,
Hyndburn,E14000758,30,"21,658",10.4,"27,279",8.3,"8,301","12,680","14,495","15,881","18,321","25,842","30,886","36,374",x,x,,,,,,,,
Knowsley,E14000775,35,"23,844",10.9,"26,216",5.3,"9,088","14,035","15,606","17,195","20,711","26,199","30,917","33,896","36,450",x,,,,,,,,
Lancaster and Fleetwood,E14000776,28,"23,395",6.5,"25,898",3.8,x,"13,640","15,263","17,125","19,857","27,080","32,988","34,471","37,137",x,,,,,,,,
Leigh,E14000785,24,"19,749",7.5,"22,216",3.1,x,"11,676","13,217","14,349","17,145","21,644","27,259","28,728",x,x,,,,,,,,
"Liverpool, Riverside",E14000793,105,"25,670",7.1,"29,631",6.2,"10,131","15,234","17,477","19,198","22,098","30,052","34,863","37,838","40,483",x,,,,,,,,
"Liverpool, Walton",E14000794,28,"22,429",23.6,"25,422",23.8,x,"8,429",x,"13,483","18,921",x,x,x,x,x,,,,,,,,
"Liverpool, Wavertree",E14000795,20,"22,567",5.6,"24,098",-3.4,"8,968","12,582","15,624","16,591","20,058","24,214","30,040","31,994","34,201",x,,,,,,,,
"Liverpool, West Derby",E14000796,9,"20,489",-18.8,"23,955",-20.3,x,x,x,"15,143","17,483",x,x,x,x,x,,,,,,,,
Macclesfield,E14000802,33,"23,858",-0.3,"28,414",-1.2,x,"11,576","13,036","15,514","20,609","28,261","32,708","34,909","36,235",x,,,,,,,,
Makerfield,E14000805,18,"20,539",11.8,"23,825",7.2,"9,341","11,908","13,605","14,760","16,531","23,039","25,431",x,x,x,,,,,,,,
Manchester Central,E14000807,178,"28,496",1.8,"33,436",2.3,"11,313","17,594","19,501","21,018","25,206","31,875","37,412","40,322","44,227",x,,,,,,,,
"Manchester, Gorton",E14000808,14,"22,992",-0.2,"26,542",6.2,x,x,"14,167","16,360","19,722","28,415",x,x,x,x,,,,,,,,
"Manchester, Withington",E14000809,19,"22,876",7.1,"27,738",-0.1,x,"9,702","12,107","15,028","18,740","25,961","33,515",x,x,x,,,,,,,,
Morecambe and Lunesdale,E14000825,x,x,,"25,888",4.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Oldham East and Saddleworth,E14000870,28,"18,767",6.3,"20,827",0.8,x,"10,085","12,019","13,311","16,697","21,192","24,684","26,449","28,971",x,,,,,,,,
Oldham West and Royton,E14000871,33,"21,605",-5.3,"25,912",5.9,x,x,x,"17,021","19,026","25,573","30,068",x,x,x,,,,,,,,
Pendle,E14000875,23,"21,552",-4.8,"23,913",-7.1,x,"13,114","14,571","16,209","19,110","23,601","28,579","30,192",x,x,,,,,,,,
Penrith and The Border,E14000877,34,"22,382",1.7,"24,526",0.2,"6,737","10,957","13,834","16,353","19,428","25,566","29,556","30,924",x,x,,,,,,,,
Preston,E14000885,45,"24,199",7.4,"26,026",7.9,"7,917","13,731","16,252","17,971","20,847","26,912","31,119","33,599","37,107",x,,,,,,,,
Ribble Valley,E14000894,37,"26,063",9.4,"29,786",13.8,"9,715","13,564","16,215","18,153","21,603","31,278","35,927","38,328","40,885",x,,,,,,,,
Rochdale,E14000897,30,"22,439",8.0,"25,425",3.9,"7,685","11,931","14,273","16,450","19,643","24,443","31,219","33,531","35,217",x,,,,,,,,
Rossendale and Darwen,E14000902,20,"20,800",2.6,"23,915",4.6,"8,262","12,709","15,414","16,652","18,912","23,668","27,473","29,131",x,x,,,,,,,,
Salford and Eccles,E14000911,74,"26,276",2.4,"31,609",0.6,"9,290","16,976","18,676","19,754","22,745","30,241","36,227","39,168",x,x,,,,,,,,
Sefton Central,E14000916,12,"14,665",-11.8,"18,129",-12.3,x,x,x,"9,244","11,789","17,744",x,x,x,x,,,,,,,,
South Ribble,E14000943,23,"21,901",6.3,"24,645",2.8,x,"11,841","13,738","16,723","19,444","24,468","28,269","29,756",x,x,,,,,,,,
Southport,E14000958,16,"17,600",5.8,"20,584",3.5,x,"9,417","11,080","12,180","16,144","22,493","26,212",x,x,x,,,,,,,,
St Helens North,E14000962,18,"26,261",13.3,"27,415",1.8,x,x,x,x,x,"28,472",x,x,x,x,,,,,,,,
St Helens South and Whiston,E14000963,41,"23,056",6.1,"27,364",-1.4,"8,102","12,481","13,856","15,836","19,002","28,754","33,631","39,288","44,663",x,,,,,,,,
Stalybridge and Hyde,E14000967,14,"18,233",0.4,"21,431",2.8,x,"11,821","13,928","15,897","17,362","21,276","23,889",x,x,x,,,,,,,,
Stockport,E14000969,41,"24,726",11.9,"27,659",11.5,"7,734","12,710","15,542","18,195","21,512","28,348",x,x,x,x,,,,,,,,
