,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annual population survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 4 January 2021],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis   :,variable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Confidence :,95% confidence interval of percent figure (+/-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date       :,Jul 2019-Jun 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,mnemonic,Numerator,Denominator,% all in employment who work in - A:agriculture and fishing (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - B,D,E:energy and water (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - C:manufacturing (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - F:construction (SIC 2007),Conf,Numerator,Denominator,"% all in employment who work in - G,I:distribution, hotels and restaurants (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - H,J:transport and communications (SIC 2007)",Conf,Numerator,Denominator,"% all in employment who work in - K-N:banking, finance and insurance (SIC 2007)",Conf,Numerator,Denominator,% all in employment who work in - O-Q:public admin. education and health (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - R-U:other services (SIC 2007),Conf,Numerator,Denominator,% all in employment who work in - G-U:total services (SIC 2007),Conf
pca10:Shipley,E14000925,!,48300,!,!,2500,48300,5.2,*,7000,48300,14.5,6.6,1900,48300,3.9,*,7000,48300,14.4,6.6,2400,48300,4.9,*,11500,48300,23.8,8.0,14100,48300,29.3,8.5,1900,48300,3.9,*,36900,48300,76.4,8.0
pca10:Skipton and Ripon,E14000928,4500,50100,8.9,5.3,#,50100,2.6,*,4200,50100,8.4,*,3400,50100,6.8,*,12900,50100,25.7,8.1,2800,50100,5.6,*,10300,50100,20.6,7.5,9400,50100,18.8,7.2,1300,50100,2.6,*,36700,50100,73.3,8.2
pca10:Thirsk and Malton,E14000993,1800,50300,3.6,*,1300,50300,2.6,*,4100,50300,8.2,4.6,2200,50300,4.4,*,10400,50300,20.6,6.8,2500,50300,5.0,*,6700,50300,13.3,5.7,17200,50300,34.1,8.0,4100,50300,8.1,4.6,40800,50300,81.1,6.6
pca10:Wakefield,E14001009,!,48600,!,!,!,48600,!,!,5500,48600,11.3,4.5,4300,48600,8.8,4.0,9600,48600,19.8,5.7,4100,48600,8.5,4.0,7000,48600,14.4,5.0,13100,48600,27.0,6.3,3500,48600,7.3,3.7,37400,48600,76.9,6.0
pca10:Wentworth and Dearne,E14001028,!,40900,!,!,!,40900,!,!,4500,40900,11.1,4.5,3500,40900,8.6,4.1,4600,40900,11.2,4.6,3900,40900,9.6,4.2,7200,40900,17.6,5.5,13700,40900,33.4,6.8,2800,40900,6.7,*,32100,40900,78.4,5.9
pca10:York Central,E14001061,!,53400,!,!,!,53400,!,!,3900,53400,7.4,3.1,2600,53400,4.9,2.6,9600,53400,17.9,4.5,4100,53400,7.7,3.1,10500,53400,19.6,4.7,18900,53400,35.3,5.7,3100,53400,5.9,2.8,46100,53400,86.4,4.1
pca10:York Outer,E14001062,#,57800,1.6,*,!,57800,!,!,4600,57800,8.0,3.1,4100,57800,7.0,2.9,11100,57800,19.1,4.4,6100,57800,10.5,3.4,8700,57800,15.1,4.0,18800,57800,32.5,5.3,3100,57800,5.4,2.5,47700,57800,82.5,4.3
pca10:Amber Valley,E14000533,!,45800,!,!,3500,45800,7.5,*,10200,45800,22.3,9.1,4500,45800,9.7,*,7400,45800,16.2,8.1,2600,45800,5.6,*,5500,45800,11.9,7.1,12200,45800,26.7,9.7,!,45800,!,!,27700,45800,60.4,10.7
pca10:Ashfield,E14000535,!,47500,!,!,!,47500,!,!,10000,47500,21.0,8.4,2100,47500,4.3,*,11900,47500,25.1,9.0,3400,47500,7.1,*,6100,47500,12.8,6.9,12700,47500,26.7,9.1,!,47500,!,!,34800,47500,73.2,9.1
pca10:Bassetlaw,E14000546,#,51300,3.4,*,!,51300,!,!,6600,51300,12.9,7.0,2300,51300,4.6,*,13500,51300,26.3,9.2,2900,51300,5.6,*,5400,51300,10.5,*,14900,51300,29.0,9.5,3900,51300,7.6,*,40500,51300,79.1,8.6
pca10:Bolsover,E14000577,!,41800,!,!,!,41800,!,!,9200,41800,22.1,11.3,!,41800,!,!,8000,41800,19.1,10.7,2800,41800,6.8,*,4900,41800,11.6,*,14400,41800,34.5,12.9,!,41800,!,!,30100,41800,72.0,12.2
pca10:Boston and Skegness,E14000582,2600,49200,5.2,*,!,49200,!,!,7200,49200,14.6,8.2,2000,49200,4.0,*,15000,49200,30.4,10.7,1700,49200,3.4,*,8700,49200,17.7,8.9,10100,49200,20.5,9.4,2100,49200,4.2,*,37500,49200,76.3,9.9
pca10:Bosworth,E14000583,!,51200,!,!,3000,51200,5.9,*,5300,51200,10.3,5.4,4000,51200,7.7,*,10100,51200,19.7,7.1,2900,51200,5.6,*,7800,51200,15.2,6.4,16800,51200,32.8,8.4,!,51200,!,!,38100,51200,74.4,7.8
pca10:Broxtowe,E14000607,!,51200,!,!,!,51200,!,!,7500,51200,14.6,6.5,6200,51200,12.2,6.0,8200,51200,16.0,6.8,5800,51200,11.3,5.8,7300,51200,14.3,6.5,14500,51200,28.3,8.3,1700,51200,3.3,*,37500,51200,73.2,8.2
pca10:Charnwood,E14000625,!,56700,!,!,1800,56700,3.1,*,5100,56700,8.9,*,7300,56700,12.8,6.6,11400,56700,20.2,7.9,4500,56700,7.9,*,6100,56700,10.8,6.1,19200,56700,33.9,9.3,1300,56700,2.4,*,42600,56700,75.1,8.5
pca10:Chesterfield,E14000632,!,39000,!,!,!,39000,!,!,6100,39000,15.6,7.7,1600,39000,4.0,*,8000,39000,20.6,8.6,3300,39000,8.4,*,4200,39000,10.6,*,13200,39000,33.8,10.1,2400,39000,6.2,*,31100,39000,79.6,8.6
pca10:Corby,E14000648,!,75300,!,!,2100,75300,2.7,*,14400,75300,19.1,6.8,3500,75300,4.7,*,12300,75300,16.3,6.4,7000,75300,9.3,5.0,8700,75300,11.6,5.5,22100,75300,29.3,7.9,4000,75300,5.3,*,54100,75300,71.8,7.8
pca10:Daventry,E14000660,#,47600,5.8,*,1200,47600,2.5,*,6500,47600,13.6,6.7,3400,47600,7.2,*,7700,47600,16.3,7.2,6200,47600,13.1,6.5,6800,47600,14.3,6.8,10700,47600,22.5,8.1,2200,47600,4.7,*,33700,47600,70.9,8.8
pca10:Derby North,E14000662,!,55400,!,!,600,55400,1.1,*,8400,55400,15.2,4.3,4600,55400,8.4,3.4,10200,55400,18.4,4.7,3900,55400,7.1,3.1,7600,55400,13.7,4.2,16300,55400,29.4,5.5,3800,55400,6.8,3.0,41800,55400,75.4,5.2
pca10:Derby South,E14000663,!,42600,!,!,1100,42600,2.7,*,7100,42600,16.7,5.2,3300,42600,7.7,3.7,7900,42600,18.7,5.4,6000,42600,14.1,4.9,5800,42600,13.7,4.8,9500,42600,22.2,5.8,1400,42600,3.2,*,30600,42600,71.9,6.3
pca10:Derbyshire Dales,E14000664,4100,36300,11.4,*,!,36300,!,!,1400,36300,3.9,*,4300,36300,11.9,6.8,10200,36300,28.2,9.5,1800,36300,4.9,*,3100,36300,8.6,*,10000,36300,27.6,9.4,1200,36300,3.4,*,26400,36300,72.8,9.4
pca10:Erewash,E14000695,!,50900,!,!,2500,50900,4.9,*,6600,50900,13.0,6.9,2000,50900,4.0,*,10100,50900,19.8,8.1,5800,50900,11.3,6.5,9000,50900,17.6,7.8,12300,50900,24.3,8.8,2600,50900,5.0,*,39700,50900,78.1,8.5
pca10:Gainsborough,E14000707,1600,43200,3.6,*,1900,43200,4.3,*,3600,43200,8.4,*,3500,43200,8.0,*,7200,43200,16.7,7.5,3100,43200,7.2,*,6400,43200,14.9,7.2,12900,43200,30.0,9.2,2900,43200,6.8,*,32600,43200,75.6,8.6
pca10:Gedling,E14000710,!,43700,!,!,!,43700,!,!,4300,43700,9.9,5.9,4300,43700,9.9,*,9100,43700,20.8,8.0,3100,43700,7.0,*,6600,43700,15.1,7.1,13200,43700,30.1,9.0,2400,43700,5.6,*,34300,43700,78.5,8.1
pca10:Grantham and Stamford,E14000714,!,50500,!,!,!,50500,!,!,6800,50500,13.4,7.2,3800,50500,7.5,*,13300,50500,26.4,9.3,1800,50500,3.6,*,3800,50500,7.5,*,15000,50500,29.7,9.6,3200,50500,6.3,*,37200,50500,73.6,9.3
pca10:Harborough,E14000728,!,54100,!,!,!,54100,!,!,5200,54100,9.6,5.7,3900,54100,7.3,*,12200,54100,22.6,8.1,3900,54100,7.2,*,4700,54100,8.7,*,21200,54100,39.2,9.5,1500,54100,2.7,*,43500,54100,80.4,7.7
pca10:High Peak,E14000748,!,44000,!,!,!,44000,!,!,4300,44000,9.8,*,2000,44000,4.6,*,7800,44000,17.8,7.7,2000,44000,4.4,*,8800,44000,20.0,8.1,13800,44000,31.3,9.4,4400,44000,10.0,6.1,36700,44000,83.5,7.5
pca10:Kettering,E14000769,!,53800,!,!,!,53800,!,!,4400,53800,8.2,*,4900,53800,9.1,*,5700,53800,10.5,*,11500,53800,21.3,8.9,9500,53800,17.7,8.3,16300,53800,30.2,10.0,1600,53800,3.0,*,44500,53800,82.7,8.2
pca10:Leicester East,E14000782,!,59500,!,!,!,59500,!,!,14600,59500,24.5,6.7,3200,59500,5.4,*,12600,59500,21.2,6.4,6300,59500,10.6,4.8,7100,59500,11.9,5.0,10900,59500,18.2,6.0,3700,59500,6.2,*,40500,59500,68.1,7.3
pca10:Leicester South,E14000783,!,58200,!,!,!,58200,!,!,7100,58200,12.2,5.4,1700,58200,3.0,*,9500,58200,16.3,6.1,3700,58200,6.3,*,8700,58200,14.9,5.9,25300,58200,43.4,8.2,1100,58200,1.9,*,48200,58200,82.8,6.2
pca10:Leicester West,E14000784,!,61000,!,!,!,61000,!,!,10800,61000,17.7,6.0,4700,61000,7.6,4.2,10500,61000,17.2,6.0,7500,61000,12.3,5.2,8800,61000,14.4,5.6,14500,61000,23.8,6.7,2600,61000,4.2,*,43800,61000,71.9,7.1
pca10:Lincoln,E14000792,!,51900,!,!,2000,51900,3.8,*,4800,51900,9.2,5.5,4400,51900,8.5,*,10700,51900,20.6,7.7,3900,51900,7.5,*,6000,51900,11.5,6.1,15900,51900,30.6,8.7,3900,51900,7.4,*,40300,51900,77.7,7.9
pca10:Loughborough,E14000797,!,61100,!,!,!,61100,!,!,10500,61100,17.1,7.1,4200,61100,6.9,*,7000,61100,11.5,6.0,7800,61100,12.7,6.3,8600,61100,14.1,6.6,20500,61100,33.6,8.9,2500,61100,4.1,*,46500,61100,76.0,8.1
pca10:Louth and Horncastle,E14000798,!,36400,!,!,!,36400,!,!,2600,36400,7.2,*,2800,36400,7.7,*,8600,36400,23.6,10.6,2400,36400,6.7,*,3500,36400,9.6,*,11400,36400,31.4,11.6,3800,36400,10.4,*,29700,36400,81.7,9.6
pca10:Mansfield,E14000810,!,53300,!,!,!,53300,!,!,4300,53300,8.1,*,7400,53300,13.9,7.3,11400,53300,21.3,8.7,4400,53300,8.3,*,7600,53300,14.2,7.4,14500,53300,27.1,9.4,3200,53300,6.0,*,41000,53300,76.9,8.9
pca10:Mid Derbyshire,E14000814,!,54500,!,!,!,54500,!,!,12600,54500,23.1,6.3,3000,54500,5.5,*,8800,54500,16.2,5.5,5000,54500,9.2,4.3,3300,54500,6.1,3.6,19600,54500,36.0,7.2,1200,54500,2.2,*,38000,54500,69.8,6.9
pca10:Newark,E14000829,2500,59600,4.1,*,!,59600,!,!,5600,59600,9.3,5.2,3600,59600,6.0,*,12400,59600,20.8,7.3,2600,59600,4.4,*,11500,59600,19.3,7.1,17300,59600,29.0,8.2,3800,59600,6.4,*,47700,59600,80.0,7.2
pca10:North East Derbyshire,E14000843,!,50600,!,!,!,50600,!,!,7400,50600,14.7,6.8,3500,50600,6.8,*,10800,50600,21.4,7.9,2600,50600,5.2,*,7700,50600,15.1,6.9,14600,50600,28.9,8.7,3000,50600,6.0,*,38800,50600,76.7,8.1
pca10:North West Leicestershire,E14000858,2300,48500,4.7,*,1300,48500,2.6,*,7800,48500,16.1,7.3,5700,48500,11.7,6.4,11800,48500,24.4,8.5,3300,48500,6.9,*,4900,48500,10.2,6.0,7100,48500,14.7,7.0,3600,48500,7.5,*,30800,48500,63.6,9.6
pca10:Northampton North,E14000861,!,47500,!,!,!,47500,!,!,5200,47500,11.0,*,1700,47500,3.5,*,8500,47500,17.8,8.2,5900,47500,12.4,7.0,13000,47500,27.3,9.5,10900,47500,22.9,9.0,1900,47500,3.9,*,40000,47500,84.3,7.8
pca10:Northampton South,E14000862,!,40800,!,!,!,40800,!,!,4100,40800,10.1,*,!,40800,!,!,6200,40800,15.2,8.5,6200,40800,15.2,8.5,6800,40800,16.6,8.8,14500,40800,35.6,11.3,!,40800,!,!,34900,40800,85.5,8.3
pca10:Nottingham East,E14000865,!,41000,!,!,!,41000,!,!,2900,41000,7.1,4.0,1400,41000,3.5,*,8900,41000,21.7,6.4,3600,41000,8.7,4.4,8000,41000,19.6,6.2,14200,41000,34.6,7.4,1800,41000,4.4,*,36500,41000,88.9,4.9
pca10:Nottingham North,E14000866,!,50600,!,!,2500,50600,4.9,*,2000,50600,3.9,2.6,5200,50600,10.3,4.1,12800,50600,25.3,5.9,3700,50600,7.3,3.6,4800,50600,9.4,4.0,17500,50600,34.5,6.5,2200,50600,4.4,2.8,40900,50600,80.9,5.4
pca10:Nottingham South,E14000867,!,61100,!,!,1100,61100,1.7,*,7100,61100,11.6,4.1,3700,61100,6.0,3.0,11800,61100,19.3,5.0,3900,61100,6.4,3.1,6500,61100,10.7,4.0,24500,61100,40.1,6.3,2400,61100,3.9,2.5,49100,61100,80.3,5.1
pca10:Rushcliffe,E14000908,!,47800,!,!,!,47800,!,!,4400,47800,9.3,*,2100,47800,4.3,*,6800,47800,14.2,7.2,2300,47800,4.7,*,11600,47800,24.3,8.8,17700,47800,37.1,9.9,2900,47800,6.0,*,41300,47800,86.4,7.0
pca10:Rutland and Melton,E14000909,~,47900,0.9,*,!,47900,!,!,4900,47900,10.3,3.7,3900,47900,8.1,3.3,10100,47900,21.1,4.9,4800,47900,10.1,3.6,6900,47900,14.5,4.2,12300,47900,25.6,5.3,3900,47900,8.2,3.3,38100,47900,79.6,4.9
pca10:Sherwood,E14000924,!,51800,!,!,!,51800,!,!,5200,51800,10.0,5.8,5800,51800,11.1,*,11000,51800,21.3,7.9,5400,51800,10.3,5.9,9200,51800,17.8,7.4,11300,51800,21.8,7.9,2200,51800,4.2,*,39100,51800,75.5,8.3
pca10:Sleaford and North Hykeham,E14000929,5100,56700,9.0,5.0,#,56700,2.2,*,7000,56700,12.4,5.8,4400,56700,7.7,4.7,9900,56700,17.5,6.7,3100,56700,5.5,*,8800,56700,15.5,6.3,15800,56700,27.8,7.9,1200,56700,2.0,*,38700,56700,68.3,8.2
pca10:South Derbyshire,E14000935,!,56500,!,!,!,56500,!,!,9300,56500,16.5,7.0,3800,56500,6.8,*,11300,56500,19.9,7.5,6900,56500,12.3,6.2,8900,56500,15.7,6.8,14400,56500,25.5,8.2,!,56500,!,!,42500,56500,75.2,8.1
pca10:South Holland and The Deepings,E14000939,1800,46600,3.9,*,!,46600,!,!,7100,46600,15.3,7.0,5100,46600,10.8,6.1,12100,46600,25.9,8.5,4800,46600,10.3,5.9,4700,46600,10.0,5.9,9500,46600,20.4,7.9,!,46600,!,!,31900,46600,68.4,9.1
pca10:South Leicestershire,E14000940,!,53600,!,!,!,53600,!,!,5300,53600,9.8,5.5,3700,53600,6.9,*,10800,53600,20.2,7.5,5200,53600,9.6,5.5,6700,53600,12.6,6.2,19000,53600,35.4,8.9,1900,53600,3.6,*,43600,53600,81.4,7.2
pca10:South Northamptonshire,E14000942,!,72500,!,!,!,72500,!,!,5900,72500,8.1,4.6,7900,72500,10.9,5.2,8500,72500,11.7,5.4,6800,72500,9.4,4.9,20400,72500,28.1,7.6,18800,72500,25.9,7.4,1800,72500,2.5,*,56200,72500,77.5,7.0
pca10:Wellingborough,E14001025,!,57300,!,!,!,57300,!,!,7700,57300,13.4,7.5,5300,57300,9.2,*,11600,57300,20.2,8.9,6700,57300,11.7,*,7200,57300,12.5,7.3,14600,57300,25.4,9.6,4200,57300,7.4,*,44400,57300,77.4,9.2
pca10:Aldridge-Brownhills,E14000531,!,38300,!,!,!,38300,!,!,6000,38300,15.7,5.5,3300,38300,8.6,4.3,6600,38300,17.2,5.7,2200,38300,5.7,3.5,4800,38300,12.6,5.0,14100,38300,36.7,7.3,800,38300,2.2,*,28400,38300,74.3,6.6
"pca10:Birmingham, Edgbaston",E14000560,!,61300,!,!,!,61300,!,!,2400,61300,3.8,*,3700,61300,6.0,*,4400,61300,7.2,*,7000,61300,11.5,6.4,13600,61300,22.2,8.4,25500,61300,41.5,9.9,3700,61300,6.0,*,54200,61300,88.4,6.4
"pca10:Birmingham, Erdington",E14000561,!,37500,!,!,!,37500,!,!,2900,37500,7.8,*,2500,37500,6.7,*,7300,37500,19.4,10.0,4700,37500,12.6,*,8000,37500,21.4,10.4,9500,37500,25.2,11.0,1900,37500,5.0,*,31400,37500,83.6,9.4
"pca10:Birmingham, Hall Green",E14000562,!,40400,!,!,!,40400,!,!,2800,40400,6.9,*,3000,40400,7.3,*,4900,40400,12.1,*,4600,40400,11.3,*,6300,40400,15.7,*,15700,40400,38.9,12.3,3100,40400,7.7,*,34600,40400,85.8,8.8
"pca10:Birmingham, Hodge Hill",E14000563,!,46700,!,!,!,46700,!,!,6000,46700,12.8,*,#,46700,3.9,*,13400,46700,28.7,10.2,6900,46700,14.7,8.0,5500,46700,11.8,7.3,13100,46700,28.1,10.1,!,46700,!,!,38900,46700,83.3,8.4
"pca10:Birmingham, Ladywood",E14000564,!,49100,!,!,!,49100,!,!,2500,49100,5.2,*,!,49100,!,!,9900,49100,20.2,9.2,7200,49100,14.8,8.1,10100,49100,20.5,9.3,13200,49100,26.8,10.2,3400,49100,6.8,*,43700,49100,89.2,7.1
"pca10:Birmingham, Northfield",E14000565,!,50700,!,!,!,50700,!,!,3300,50700,6.5,*,6200,50700,12.2,*,5700,50700,11.2,*,4600,50700,9.1,*,3200,50700,6.4,*,20100,50700,39.7,11.2,4400,50700,8.7,*,38100,50700,75.1,9.9
"pca10:Birmingham, Perry Barr",E14000566,!,51100,!,!,!,51100,!,!,8700,51100,16.9,8.1,3100,51100,6.1,*,12000,51100,23.5,9.2,8500,51100,16.6,8.0,7700,51100,15.1,7.8,9200,51100,18.0,8.3,1900,51100,3.7,*,39400,51100,77.0,9.1
"pca10:Birmingham, Selly Oak",E14000567,!,48500,!,!,!,48500,!,!,4600,48500,9.4,*,2300,48500,4.8,*,8400,48500,17.4,8.6,!,48500,!,!,8400,48500,17.4,8.6,20200,48500,41.7,11.2,3300,48500,6.7,*,40900,48500,84.3,8.2
"pca10:Birmingham, Yardley",E14000568,!,52100,!,!,!,52100,!,!,6200,52100,11.8,7.1,6200,52100,12.0,*,13800,52100,26.4,9.7,4600,52100,8.8,*,5800,52100,11.1,6.9,12500,52100,24.0,9.4,!,52100,!,!,38200,52100,73.3,9.8
pca10:Bromsgrove,E14000605,!,46900,!,!,!,46900,!,!,4900,46900,10.3,5.6,4200,46900,8.9,*,9600,46900,20.6,7.5,4700,46900,10.1,5.5,9600,46900,20.4,7.4,11600,46900,24.7,8.0,!,46900,!,!,36300,46900,77.4,7.7
pca10:Burton,E14000610,!,52500,!,!,!,52500,!,!,10200,52500,19.5,7.7,4000,52500,7.7,*,11200,52500,21.3,7.9,5300,52500,10.2,5.9,4700,52500,9.0,5.6,14000,52500,26.7,8.6,!,52500,!,!,36500,52500,69.4,8.9
pca10:Cannock Chase,E14000618,!,52900,!,!,#,52900,5.7,*,6700,52900,12.7,*,5600,52900,10.6,*,9700,52900,18.4,9.5,2500,52900,4.8,*,9800,52900,18.6,9.5,10700,52900,20.2,9.8,4800,52900,9.0,*,37500,52900,70.9,11.1
pca10:Coventry North East,E14000649,!,62000,!,!,#,62000,0.9,*,7600,62000,12.2,4.4,4400,62000,7.2,3.5,10500,62000,17.0,5.0,7100,62000,11.4,4.3,9700,62000,15.6,4.9,18700,62000,30.2,6.2,2100,62000,3.4,*,48200,62000,77.6,5.6
pca10:Coventry North West,E14000650,!,67700,!,!,1300,67700,1.9,*,6100,67700,9.0,3.6,3700,67700,5.5,2.9,13400,67700,19.7,5.0,6200,67700,9.2,3.6,9800,67700,14.5,4.4,21900,67700,32.3,5.9,4500,67700,6.7,3.1,55800,67700,82.4,4.8
pca10:Coventry South,E14000651,!,51300,!,!,1500,51300,2.9,*,7700,51300,15.0,5.1,2600,51300,5.1,*,11000,51300,21.4,5.9,3400,51300,6.7,3.6,7000,51300,13.6,4.9,15700,51300,30.6,6.6,2100,51300,4.1,*,39200,51300,76.4,6.1
pca10:Dudley North,E14000671,!,29300,!,!,!,29300,!,!,4100,29300,14.1,6.8,2700,29300,9.3,*,4800,29300,16.3,7.2,1700,29300,5.7,*,3300,29300,11.4,6.2,10600,29300,36.3,9.4,800,29300,2.6,*,21200,29300,72.4,8.8
pca10:Dudley South,E14000672,!,40200,!,!,1400,40200,3.4,*,5400,40200,13.5,6.0,3800,40200,9.5,5.1,8600,40200,21.5,7.2,2200,40200,5.5,*,5000,40200,12.4,5.8,11600,40200,28.8,7.9,1200,40200,3.1,*,28700,40200,71.4,7.9
pca10:Halesowen and Rowley Regis,E14000722,!,41500,!,!,!,41500,!,!,4400,41500,10.5,4.8,4000,41500,9.6,4.6,9700,41500,23.3,6.6,2600,41500,6.2,3.8,7500,41500,18.1,6.0,9700,41500,23.3,6.6,3200,41500,7.8,4.2,32700,41500,78.7,6.4
pca10:Hereford and South Herefordshire,E14000743,1800,46500,3.8,2.2,800,46500,1.7,*,5700,46500,12.3,3.7,2800,46500,6.1,2.7,7400,46500,15.9,4.1,1600,46500,3.5,2.1,7600,46500,16.4,4.2,15600,46500,33.6,5.4,3200,46500,6.9,2.9,35400,46500,76.2,4.8
pca10:Kenilworth and Southam,E14000767,2200,54400,4.1,*,1700,54400,3.2,*,6000,54400,11.0,5.3,2400,54400,4.4,*,4700,54400,8.6,4.7,6000,54400,11.0,5.3,9800,54400,17.9,6.5,16900,54400,31.1,7.8,4700,54400,8.6,4.7,42100,54400,77.3,7.1
pca10:Lichfield,E14000791,!,46500,!,!,!,46500,!,!,7300,46500,15.8,7.2,3600,46500,7.7,*,7100,46500,15.2,7.1,5800,46500,12.5,6.5,4200,46500,9.1,*,14500,46500,31.1,9.1,2800,46500,6.1,*,34400,46500,73.8,8.7
pca10:Ludlow,E14000799,2200,43700,5.1,3.3,!,43700,!,!,7100,43700,16.3,5.6,2900,43700,6.6,3.7,5400,43700,12.3,4.9,1700,43700,3.8,*,9600,43700,21.9,6.2,11200,43700,25.7,6.6,3300,43700,7.5,4.0,31100,43700,71.2,6.8
pca10:Meriden,E14000812,~,57700,0.7,*,600,57700,1.1,*,7000,57700,12.1,3.4,2300,57700,4.0,2.0,9300,57700,16.0,3.8,6000,57700,10.5,3.2,9500,57700,16.5,3.9,19100,57700,33.2,4.9,3200,57700,5.5,2.4,47200,57700,81.7,4.0
pca10:Mid Worcestershire,E14000818,!,52200,!,!,1300,52200,2.4,*,6000,52200,11.4,5.7,4900,52200,9.3,5.2,5100,52200,9.7,5.3,6100,52200,11.6,5.8,11400,52200,21.8,7.4,14400,52200,27.5,8.1,3300,52200,6.2,*,40100,52200,76.8,7.6
pca10:Newcastle-under-Lyme,E14000834,!,41200,!,!,2100,41200,5.1,*,3300,41200,7.9,*,4900,41200,11.8,*,5000,41200,12.2,*,2600,41200,6.3,*,5000,41200,12.0,*,16200,41200,39.2,11.8,2300,41200,5.5,*,31000,41200,75.2,10.4
pca10:North Herefordshire,E14000847,5200,48700,10.6,3.3,500,48700,1.1,*,5100,48700,10.4,3.3,4400,48700,9.0,3.1,6800,48700,13.9,3.7,2400,48700,5.0,2.3,9000,48700,18.4,4.2,12700,48700,26.1,4.7,2400,48700,5.0,2.3,33300,48700,68.4,5.0
pca10:North Shropshire,E14000849,1900,54900,3.5,*,1400,54900,2.5,*,5400,54900,9.8,3.8,5000,54900,9.0,3.6,8400,54900,15.4,4.6,3900,54900,7.0,3.2,6900,54900,12.6,4.2,18600,54900,33.8,6.0,3300,54900,5.9,3.0,41100,54900,74.8,5.5
pca10:North Warwickshire,E14000854,!,46900,!,!,2100,46900,4.5,*,7600,46900,16.2,6.6,2000,46900,4.3,*,7000,46900,14.8,6.3,4800,46900,10.2,5.4,8000,46900,17.0,6.7,12200,46900,26.0,7.8,3300,46900,7.1,*,35200,46900,75.0,7.7
pca10:Nuneaton,E14000868,!,41700,!,!,!,41700,!,!,7500,41700,17.9,7.6,4200,41700,10.1,*,7100,41700,17.1,7.5,5400,41700,13.0,6.7,3800,41700,9.1,5.7,11400,41700,27.4,8.9,1300,41700,3.2,*,29100,41700,69.9,9.1
pca10:Redditch,E14000892,!,47900,!,!,!,47900,!,!,7200,47900,15.0,6.6,2500,47900,5.2,*,6200,47900,12.9,6.2,2500,47900,5.3,*,8200,47900,17.2,7.0,18100,47900,37.8,9.0,1900,47900,4.0,*,37000,47900,77.1,7.8
pca10:Rugby,E14000905,!,55000,!,!,!,55000,!,!,6000,55000,11.0,5.5,2900,55000,5.2,*,9000,55000,16.3,6.5,9500,55000,17.2,6.6,10200,55000,18.5,6.8,13100,55000,23.8,7.5,2600,55000,4.7,*,44300,55000,80.5,6.9
pca10:Shrewsbury and Atcham,E14000926,!,53000,!,!,800,53000,1.4,*,3700,53000,6.9,3.4,3800,53000,7.2,3.5,8700,53000,16.5,5.0,4200,53000,8.0,3.6,7200,53000,13.6,4.6,20600,53000,38.9,6.5,3300,53000,6.2,3.2,44100,53000,83.1,5.0
pca10:Solihull,E14000931,!,45400,!,!,1000,45400,2.1,*,4200,45400,9.1,3.5,3700,45400,8.1,3.3,6600,45400,14.5,4.3,4100,45400,9.1,3.5,10500,45400,23.1,5.1,12600,45400,27.7,5.4,2600,45400,5.7,2.8,36400,45400,80.0,4.9
pca10:South Staffordshire,E14000945,!,50200,!,!,!,50200,!,!,8800,50200,17.5,7.6,4700,50200,9.4,*,8300,50200,16.5,7.5,2400,50200,4.8,*,6800,50200,13.5,6.9,15500,50200,31.0,9.3,3200,50200,6.3,*,36200,50200,72.2,9.0
pca10:Stafford,E14000965,!,47700,!,!,1700,47700,3.5,*,3700,47700,7.7,*,5100,47700,10.6,*,7300,47700,15.3,7.7,3300,47700,6.9,*,3700,47700,7.7,*,20800,47700,43.6,10.7,2300,47700,4.8,*,37300,47700,78.2,8.9
pca10:Staffordshire Moorlands,E14000966,!,41900,!,!,!,41900,!,!,4200,41900,10.0,*,8500,41900,20.2,9.5,6300,41900,14.9,8.4,!,41900,!,!,5900,41900,14.2,8.2,11200,41900,26.7,10.4,3300,41900,8.0,*,27700,41900,66.1,11.2
pca10:Stoke-on-Trent Central,E14000972,!,38900,!,!,!,38900,!,!,4700,38900,12.0,4.6,1500,38900,3.7,*,7300,38900,18.7,5.5,5500,38900,14.3,4.9,5200,38900,13.3,4.8,12000,38900,30.8,6.5,2500,38900,6.5,3.5,32500,38900,83.6,5.2
